time,open,close,high,low
2023-02-01 22:00:00,17.05,17.32,18.0,17.05
2023-02-01 23:00:00,17.32,16.6,18.03,16.3
2023-02-02 01:00:00,16.6,17.44,17.44,16.6
2023-02-02 02:00:00,17.44,16.58,17.51,16.58
2023-02-02 03:00:00,16.58,17.05,17.75,16.58
2023-02-02 04:00:00,17.05,17.15,17.33,16.79
2023-02-02 05:00:00,17.15,16.93,17.86,16.86
2023-02-02 06:00:00,16.93,16.53,17.13,16.53
2023-02-02 07:00:00,16.53,16.44,17.97,16.44
2023-02-02 08:00:00,16.44,17.76,17.86,16.04
2023-02-02 09:00:00,17.76,17.26,17.76,16.25
2023-02-02 10:00:00,17.26,0.0,17.26,16.56
